Name,Short,Code,Smiles
Mannopyranose a-D,Man,0001,OC[C@H]1O[C@H](O)[C@@H](O)[C@@H](O)[C@@H]1O
Galactopyranose a-D,Gal,0002,OC[C@H]1O[C@H](O)[C@H](O)[C@@H](O)[C@H]1O
Fucopyranose b-L,Fuc,0003,C[C@@H]1O[C@@H](O)[C@@H](O)[C@H](O)[C@@H]1O
N-Acetyl Galacotsamine a-D,GalNAc,0004,
N-Acetyl Neuraminic Acis a-D,NeuAc,0005,CC(O)N[C@@H]1[C@@H](O)C[C@](O)(C(O)O)O[C@H]1[C@H](O)[C@H](O)CO
Glucopyranose a-D,Glc,0006,
N-Acetly Glucosamin a-D,GlcNAc,0007,CC(O)N[C@H]1[C@@H](O)O[C@H](CO)[C@@H](O)[C@@H]1O
Rhamnopyranose a-D,Rha,0008,C[C@H]1O[C@H](O)[C@@H](O)[C@@H](O)[C@@H]1O
L-Glycero-D-Manno-Heptose,LdmanHep,0009,OC[C@H](O)[C@H]1O[C@H](O)[C@@H](O)[C@@H](O)[C@@H]1O
Tallopyranose a-D,Tal,0010,OC[C@H]1O[C@H](O)[C@@H](O)[C@@H](O)[C@H]1O
Glucosamine a-D,GlcN,0011,OC[C@H]1O[C@H](O)[C@H](N2NN2)[C@@H](O)[C@@H]1O
Galactosamine a-D,GalN,0012,N[C@H]1[C@H](O)O[C@H](CO)[C@H](O)[C@@H]1O
Ribofuranose a-D (northern conformation),Rib,0013,OC[C@H]1O[C@H](O)[C@H](O)[C@@H]1O
Ribofuranose a-D (southern conformation),Rib,0014,OC[C@H]1O[C@H](O)[C@H](O)[C@@H]1O
N-Acetly D-Mannosamin a-D,ManNAc,0015,CC(O)N[C@@H]1[C@@H](O)O[C@H](CO)[C@@H](O)[C@@H]1O
Arabinopyranose a-D,Ara,0016,O[C@H]1OC[C@@H](O)[C@@H](O)[C@@H]1O
Mannosamin a-D,ManN,0017,N[C@@H]1[C@@H](O)O[C@H](CO)[C@@H](O)[C@@H]1O
Galactopyranose a-L,LGal,0018,OC[C@@H]1O[C@@H](O)[C@@H](O)[C@H](O)[C@@H]1O
Xylopyranose a-D,Xyl,0019,O[C@H]1OC[C@@H](O)[C@H](O)[C@H]1O
Fructofuranose b-D (northern conformation),Fru,0020,OC[C@@H](O)[C@H]1O[C@@H](O)[C@H](O)[C@@H]1O
Fructofuranose b-D (southern conformation),Fru,0021,OC[C@H](O)[C@H]1O[C@@H](O)[C@H](O)[C@@H]1O
Gal b1-4 Glc (Conformation 1),Gal b1-4 Glc,0022,OC[C@H]1O[C@@H](O)[C@H](O)[C@@H](O)[C@@H]1O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O
Gal b1-4 Glc (Conformation 2),Gal b1-4 Glc,0023,OC[C@H]1O[C@@H](O)[C@H](O)[C@@H](O)[C@@H]1O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O
Gal b1-4 Glc (Conformation 3),Gal b1-4 Glc,0024,OC[C@H]1O[C@@H](O)[C@H](O)[C@@H](O)[C@@H]1O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O
Gal b1-4 Glc (Conformation 4),Gal b1-4 Glc,0025,OC[C@H]1O[C@@H](O)[C@H](O)[C@@H](O)[C@@H]1O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O
Man a1-2 Man (Conformation 1),Man a1-2 Man,0026,OC[C@H]1O[C@@H](O)[C@@H](O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]2O)[C@@H](O)[C@@H]1O
Man a1-2 Man (Conformation 2),Man a1-2 Man,0027,OC[C@H]1O[C@@H](O)[C@@H](O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]2O)[C@@H](O)[C@@H]1O
Man a1-2 Man (Conformation 3),Man a1-2 Man,0028,OC[C@H]1O[C@@H](O)[C@@H](O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]2O)[C@@H](O)[C@@H]1O
Man a1-3 Man (Conformation 1),Man a1-3 Man,0029,OC[C@H]1O[C@H](O[C@@H]2[C@H](O)[C@H](O)O[C@H](CO)[C@H]2O)[C@@H](O)[C@@H](O)[C@@H]1O
Man a1-3 Man (Conformation 2),Man a1-3 Man,0030,OC[C@H]1O[C@H](O[C@@H]2[C@H](O)[C@H](O)O[C@H](CO)[C@H]2O)[C@@H](O)[C@@H](O)[C@@H]1O
Man a1-3 Man (Conformation 3),Man a1-3 Man,0031,OC[C@H]1O[C@H](O[C@@H]2[C@H](O)[C@H](O)O[C@H](CO)[C@H]2O)[C@@H](O)[C@@H](O)[C@@H]1O
NeuAc a2-3 Gal,NeuAc a2-3 Gal,0032,CO[C@@H]1O[C@H](CO)[C@H](O)[C@H](O[C@]2(C(O)O)C[C@H](O)[C@@H](NC(C)O)[C@H]([C@H](O)[C@H](O)CO)O2)[C@H]1O
Gal b1-3 GlcAc (Conformation 1),Gal b1-3 GlcAc,0033,CC(O)N[C@H]1[C@H](O)O[C@H](CO)[C@@H](O)[C@@H]1O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O
Gal b1-3 GlcAc (Conformation 2),Gal b1-3 GlcAc,0034,CC(O)N[C@H]1[C@H](O)O[C@H](CO)[C@@H](O)[C@@H]1O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O
Gal b1-3 GlcAc (Conformation 3),Gal b1-3 GlcAc,0035,CC1N[C@H]2[C@H](O)O[C@H](CO)[C@@H](O)[C@@H]2O[C@@H]2O[C@H](COO1)[C@H](O)[C@H](O)[C@H]2O
Gal b1-3 GlcAc (Conformation 4),Gal b1-3 GlcAc,0036,CC(O)N[C@H]1[C@H](O)O[C@H](CO)[C@@H](O)[C@@H]1O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O
Gal b1-3 GalAc (Conformation 1),Gal b1-3 GalAc,0037,CC(O)N[C@H]1[C@H](O)O[C@H](CO)[C@H](O)[C@@H]1O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O
Gal b1-3 GalAc (Conformation 2),Gal b1-3 GalAc,0038,CC(O)N[C@H]1[C@H](O)O[C@H](CO)[C@H](O)[C@@H]1O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O
Gal b1-3 GalAc (Conformation 3),Gal b1-3 GalAc,0039,CC(O)N[C@H]1[C@H](O)O[C@H](CO)[C@H](O)[C@@H]1O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O
